Extraction Date:,7/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2014,Alabama,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2,3,3,1,6,26,46,14,0,9,92,101,0,101,3,98,0,0,82,0,0,0,19
2014,Alabama,Home,All Disabilities,51,49,42,0,2,24,11,1,5,99,53,89,0,142,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,10,14,15,10,16,16,19,30,29,31,19,7,8,2,65,141,36,242,1,241,99,143,1,3,87,10,0,1,140
2014,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263,327,357,386,411,448,387,372,343,319,325,319,254,93,42,7,2192,2065,396,4653,182,4471,1559,3094,30,30,1820,229,0,63,2481
2014,Alabama,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4488,5008,5413,5477,5408,5224,4936,5047,5068,4774,4734,4284,2532,449,51,1,31018,28843,3033,62894,1581,61313,20660,42234,470,303,23783,2715,40,1036,34547
2014,Alabama,Inside regular class less than 40% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,356,365,352,351,367,406,403,396,368,384,382,388,309,220,185,29,2197,2321,743,5261,155,5106,1802,3459,27,57,2263,231,3,73,2607
2014,Alabama,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,83,77,37,18,12,8,11,2,3,6,5,3,0,0,0,281,35,3,319,2,317,104,215,0,7,38,8,2,4,260
2014,Alabama,"Residential Facility, Age 3-5",All Disabilities,3,2,7,0,0,6,1,0,1,4,5,7,0,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,5,15,20,29,24,39,58,75,103,100,113,68,39,15,2,103,488,124,715,1,714,240,475,4,1,302,16,1,11,380
2014,Alabama,Separate Class,All Disabilities,93,100,92,0,10,77,27,0,12,159,88,197,4,281,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,"Separate School, Age 3-5",All Disabilities,14,20,32,0,3,21,1,0,2,39,21,45,0,66,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,"Separate School, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,58,50,67,70,65,86,69,94,83,88,66,59,60,47,7,360,486,173,1019,8,1011,323,696,6,10,440,35,1,22,505
2014,Alabama,Service Provider Location,All Disabilities,259,291,147,1,13,122,37,1,9,514,199,498,5,692,697,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),All Disabilities,274,629,1310,7,27,636,82,1,52,1408,685,1528,25,2188,2213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),All Disabilities,41,59,101,0,2,40,17,2,4,136,63,138,2,199,201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),All Disabilities,557,1024,1521,7,29,998,167,1,87,1813,883,2219,31,3071,3102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),All Disabilities,104,125,203,1,4,131,29,0,13,254,143,289,6,426,432,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,"Total, Age 3-5",All Disabilities,1396,2299,3455,16,90,2055,372,6,185,4426,2140,5010,73,7077,7150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,"Total, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5229,5854,6274,6352,6318,6189,5875,5969,5971,5699,5667,5207,3250,894,394,62,36216,34388,4600,75204,1930,73274,24790,50414,538,411,28815,3244,47,1210,40939
2014,Alabama,Correctional Facilities,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Home,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Homebound/Hospital,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,2,15,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Inside regular class 40% through 79% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,348,264,56,668,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Inside regular class 80% or more of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1784,1659,130,3573,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Inside regular class less than 40% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,629,559,148,1336,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,Parentally Placed in Private Schools,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,16,0,33,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,"Residential Facility, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Alabama,"Residential Facility, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,32,28,64,-,-,-,-,-,-,-,-,-,-,-
